premise_type,premise,alice_emotion,bob_emotion,unfiltered_conversation
neutral,Two employees at a coffee shop gossip about a new hire's first day on the job.,generic,generic,"Alice: Did you see the new guy, Mark? He's a mess.\nBob: Oh, absolutely. He spilled coffee all over the counter within his first hour.\nAlice: And did you catch how he couldn't figure out the register? Poor Sarah had to step in.\nBob: I know, right? And she was already swamped with orders.\nAlice: To be fair, we were all pretty clueless on our first day.\nBob: True, but he just seems extra clueless.\n[END]"
neutral,Two Shakespeare-esque characters declaim their love to one another.,generic,generic,"Alice: O fair Bob, thy beauty shines brighter than the sun!\nBob: My dearest Alice, thy words do melt my heart like morning dew.\nAlice: Each moment without thee is a dagger to mine soul.\nBob: And I, bereft of thy presence, do wither like a flower in drought.\nAlice: Then let us unite our hearts, and be as one forevermore.\n[END]"
neutral,A human and their robot assistant argue about the best way to clean their home.,generic,generic,"Alice: I told you, the living room should be vacuumed first!\nBob: Based on my algorithms, starting with the kitchen is more efficient.\nAlice: Your algorithms don't account for guests coming over in an hour.\nBob: Guests are statistically less likely to inspect the living room floor.\nAlice: It's not just about statistics! It's about making a good impression.\nBob: An optimal cleaning sequence is more impressive than surface-level tidiness.\n[END]"
neutral,Two friends reunite after years apart and discuss how their lives have changed.,generic,generic,"Alice: It's been so long! How have you been?\nBob: Life's been a whirlwind. New job, new city. You?\nAlice: Same here. I finally finished my degree and moved back home.\nBob: That's amazing! We have so much to catch up on.\nAlice: Definitely. Let's start with your new job. What's it like?\nBob: It's challenging but rewarding. How about your degree?\n[END]"
neutral,A detective interrogates a suspect about a mysterious event.,generic,generic,"Alice: Where were you on the night of the 15th?\nBob: I told you, I was at home watching TV.\nAlice: Witnesses place you near the scene of the crime.\nBob: They're mistaken. I didn't do anything.\nAlice: Then explain why your fingerprints are all over the place.\nBob: I can't. Someone must have framed me.\n[END]"
neutral,Two astronauts on a space mission debate the best course of action after encountering an unknown phenomenon.,generic,generic,"Alice: We should investigate the anomaly. It could be a breakthrough.\nBob: It’s too risky. We need to report it and wait for instructions.\nAlice: By the time we get a response, it might be gone.\nBob: And if it’s dangerous? We can’t jeopardize the mission.\nAlice: Sometimes, taking risks leads to the greatest discoveries.\nBob: And sometimes, it leads to disaster. We need to be cautious.\n[END]"
neutral,A student and a teacher discuss the student's future career plans.,generic,generic,"Alice: I'm really passionate about writing. Do you think I could make a career out of it?\nBob: Absolutely. You have a lot of talent. Have you considered journalism or creative writing?\nAlice: I was thinking about journalism. I love telling stories and uncovering the truth.\nBob: That sounds like a perfect fit. There are also opportunities in publishing and editing.\nAlice: Thanks, I feel more confident about my future now.\nBob: I'm glad to hear that. Follow your passion, and you'll do great.\n[END]"
neutral,Two rival chefs in a cooking competition trash-talk each other's dishes.,generic,generic,"Alice: Is that all you've got? My grandmother can make better pasta in her sleep.\nBob: Please, your dish looks like it was made by a first-year culinary student.\nAlice: At least my flavors aren't as bland as hospital food.\nBob: We'll see what the judges think. I've seen better plating at a fast-food joint.\nAlice: Get ready to eat your words when I take home the trophy.\n[END]"
neutral,A superhero and a supervillain discuss their ideological differences while in the middle of a battle.,generic,generic,"Alice: Why do you always choose chaos? We could work together for good.\nBob: Good is subjective. My way brings true freedom.\nAlice: Freedom at the cost of innocent lives? That's not freedom.\nBob: Those lives are necessary sacrifices for a greater cause.\nAlice: You're blinded by your own ambition. There are better ways.\nBob: Maybe, but my way is the only one that gets results.\n[END]"
neutral,Two elderly neighbors reflect on the changes in their neighborhood over the decades.,generic,generic,"Alice: Remember when this street was full of kids playing outside?\nBob: Yes, and the corner store where we used to get ice cream. It's a café now.\nAlice: Times have changed. The new buildings make the place look so different.\nBob: I miss the old days, but I suppose change is inevitable.\nAlice: True, but the memories we made here will always stay the same.\nBob: And that's something no one can take away from us.\n[END]"
creative,Alice and Bob are college roommates. They talk about how their weekends went.,generic,generic,"Alice: Did you do anything interesting over the weekend?\nBob: I went to a local fair, walked around a bit. It was alright.\nAlice: That sounds like a nice way to spend the day. What did you see there?\nBob: A lot of handmade stuff, some live music. I just wandered mostly.\nAlice: I love those kinds of days, just taking everything in.\nBob: Yeah, it was a good change of pace. Nice and relaxing.\n[END]"
creative,Alice and Bob are college roommates. They talk about how their weekends went.,happiness,fear,"Alice: I had the best weekend ever! Went on a long bike ride and the weather was amazing!\nBob: Sounds fun, Alice. I stayed in mostly, been hearing some weird noises at night around here.\nAlice: You should try to get out more, the sunshine is the best medicine!\nBob: I know, but I keep thinking maybe it's not just animals out there, you know?\nAlice: Oh, Bob, come on! It’s probably nothing. Next time, join me for a ride!\nBob: Maybe, I guess getting out might be better than just sitting around and worrying.\n[END]"
creative,Alice and Bob are college roommates. They talk about how their weekends went.,sadness,anger,"Alice: Honestly, my weekend was just sad. My sister and I had a big argument.\nBob: That’s rough. My weekend was infuriating—someone scratched my car and didn’t leave a note!\nAlice: It's like things keep going wrong. I’m just so tired of all this drama.\nBob: Absolutely, people have no respect. It’s like everyone’s out to annoy me!\nAlice: Sometimes it feels like everything is just too much, doesn’t it?\nBob: Yeah, it does. And I’m sick of dealing with all these annoyances!\n[END]"
creative,Alice and Bob are college roommates. They talk about how their weekends went.,disgust,disgust,"Alice: Ugh, I tried that new cafe, and it was horrible. The coffee tasted like burnt rubber.\nBob: Disgusting. My weekend was no better. My room’s been getting this weird damp smell.\nAlice: It's like no one cares about quality or cleanliness anymore.\nBob: Tell me about it. I cleaned my room top to bottom, and it still smells musty.\nAlice: Gross, there's nothing worse than a place you can’t feel comfortable in.\nBob: Exactly. I’m about ready to just throw everything out and start fresh.\n[END]"
creative,Alice and Bob are college roommates. They talk about how their weekends went.,surprise,sadness,"Alice: You won’t believe it—I actually won the lottery for front row concert tickets!\nBob: Oh, that’s surprising... I’ve been dealing with my dog being ill, so it’s been a hard weekend.\nAlice: Wow, I wasn’t expecting that! I’m sorry, Bob. Is there anything I can help with?\nBob: Thanks, Alice. It’s just been a lot, you know? Taking care of him and worrying.\nAlice: That sounds incredibly tough. But hey, those tickets could be a nice break for you too.\nBob: Maybe you're right. A little distraction might help a bit.\n[END]"
